impl,locality,depth,op,samples,clock_overhead_ns,mean_ns,p50_ns,p90_ns,p99_ns,p999_ns,max_ns
rev,concentrated,256,trade_baseline,1000000,7,14.4,14,15,16,16,114559
rev,concentrated,512,update,1000000,7,19.6,18,26,42,57,3215
rev,concentrated,512,insert,1000000,7,77.1,77,79,86,94,106303
rev,concentrated,512,remove,1000000,7,77.0,76,78,85,107,111295
rev,concentrated,512,trade_baseline,1000000,7,14.4,14,16,16,16,1560
rev,concentrated,1024,update,1000000,7,19.8,18,27,42,60,9335
rev,concentrated,1024,insert,1000000,7,141.6,139,143,196,243,118847
rev,concentrated,1024,remove,1000000,7,142.4,139,142,188,239,105855
rev,concentrated,1024,trade_baseline,1000000,7,13.9,14,15,15,16,1766
rev,concentrated,2048,update,1000000,7,19.5,18,26,41,56,2599
rev,concentrated,2048,insert,1000000,7,308.2,331,347,387,551,17039
rev,concentrated,2048,remove,1000000,7,269.6,265,290,326,449,107583
rev,concentrated,2048,trade_baseline,1000000,7,14.0,14,15,15,16,2991
btree,uniform,1,update,1000000,7,11.5,11,13,14,16,2425
btree,uniform,1,insert,1000000,7,16.3,17,23,26,29,5947
btree,uniform,1,remove,1000000,7,13.8,13,14,29,34,9679
btree,uniform,1,trade_baseline,1000000,7,11.4,11,13,14,15,3143
btree,uniform,2,update,1000000,7,14.6,16,19,21,25,16431
btree,uniform,2,insert,1000000,7,17.7,19,25,28,32,9367
btree,uniform,2,remove,1000000,7,15.4,14,21,33,45,11791
btree,uniform,2,trade_baseline,1000000,7,11.2,11,12,13,15,5883
btree,uniform,4,update,1000000,7,17.3,18,21,26,32,17359
btree,uniform,4,insert,1000000,7,21.6,23,27,33,38,10135
btree,uniform,4,remove,1000000,7,15.0,14,16,31,37,3319
btree,uniform,4,trade_baseline,1000000,7,11.7,11,13,14,15,9847
btree,uniform,8,update,1000000,7,19.4,20,23,30,38,4319
btree,uniform,8,insert,1000000,7,23.7,24,28,33,38,16143
btree,uniform,8,remove,1000000,7,16.5,15,21,35,40,13543
btree,uniform,8,trade_baseline,1000000,7,11.5,11,13,14,15,3935
btree,uniform,16,update,1000000,7,25.1,25,31,38,44,122303
btree,uniform,16,insert,1000000,7,30.6,31,38,42,47,13799
btree,uniform,16,remove,1000000,7,18.5,17,23,38,44,11535
